Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,Description,Environment,Watchers,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Counter Measure),Custom field (Difficulty),Custom field (Fix Version/s),Custom field (Found Date),Custom field (Integrated CW),Custom field (Integrated Version),Custom field (Occurrence),Custom field (Origin of Task),Custom field (Original Estimate),Custom field (Planned End),Custom field (Planned Start),Custom field (Reject reason),Custom field (Risk),Custom field (Root cause),Custom field (SW Version),Custom field (SW_Version_Fix_Planned),Custom field (SW_Version_Fixed),Custom field (Story Points),Custom field (Test Delay Reason),Custom field (Test Result),Custom field (Velocity)
[ToDo] 양승근_09/02(토),FG-65,11047,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,sgyang,sgyang,sgyang,04/Sep/17 9:16 PM,04/Sep/17 9:16 PM,19/Oct/17 3:37 PM,,,0,"팝업 기능 구현 -> ajax를 사용시 5번 호출등 계속 호출회수가 늘어나는 문제를

하나의 class로 변경하여 수정 (트리거 방식)

 

 ",,sgyang,팝업기능 구현;04/Sep/17 9:16 PM;sgyang;28800,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,
[ToDo] 양승근_09/01(금),FG-60,11041,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,sgyang,sgyang,sgyang,01/Sep/17 9:51 PM,01/Sep/17 9:52 PM,16/Oct/17 11:53 AM,,,0,"comment오류 부분 수정

comment 수정 삭제 기능 추가

popup 레이어 디자인 및 jquery 부분 기능 추가 (ajax 통신)

 ",,sgyang,"팝업 기능 및 Jquery 기능 강화

 ;01/Sep/17 9:52 PM;sgyang;36000",,,,28800,0,36000,125%,28800,0,36000,,,,,,,,,,,,,,,,,,,,,,
[ToDo] 양승근_08/31(목),FG-55,11036,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,sgyang,sgyang,sgyang,31/Aug/17 8:54 PM,01/Sep/17 9:48 PM,19/Oct/17 3:37 PM,,,0,"상세페이지 외부접근 제어 (타유저가 URL 접근 못하게)

커멘트 기능 강화",,sgyang,"상세 페이지 외부 접근 방지 및

커멘트 기능 강화 ;01/Sep/17 9:48 PM;sgyang;36000",,,,28800,0,36000,125%,28800,0,36000,,,,,,,,,,,,,,,,,,,,,,
[ToDo] 양승근_08/30(수),FG-54,11035,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,sgyang,sgyang,sgyang,31/Aug/17 8:48 PM,31/Aug/17 8:53 PM,19/Oct/17 3:37 PM,,,0,"DB에 값을 연동하여 상세 페이지 뿌려줌

주간, 일일, 상담 3가지 전부 갱신",,sgyang,주간 계획서 부분 처리;31/Aug/17 8:52 PM;sgyang;14400,일일 업무 보고 부분 처리;31/Aug/17 8:53 PM;sgyang;14400, 상담일지 부분 처리;31/Aug/17 8:53 PM;sgyang;7200,,28800,0,36000,125%,28800,0,36000,,,,,,,,,,,,,,,,,,,,,,
[ToDo] 양승근_08/29(화),FG-51,11032,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,sgyang,sgyang,sgyang,30/Aug/17 10:11 AM,30/Aug/17 10:12 AM,19/Oct/17 3:37 PM,,,0,"상세 페이지 UI작업 진행

상세 페이지의 UI를 jira의 UI를 들고와서 뿌려줌.

리스트 검색후 Click시 Controller에서 데이터를 처리하는 로직을 구현중",,sgyang,상세페이지 UI작업 진행;30/Aug/17 10:12 AM;sgyang;28800,상세 페이지에 데이터 처리 로직을 구현;30/Aug/17 10:12 AM;sgyang;7200,,,28800,0,36000,125%,28800,0,36000,,,,,,,,,,,,,,,,,,,,,,
[ToDo] 양승근_08/28(월),FG-50,11030,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,sgyang,sgyang,sgyang,29/Aug/17 10:12 AM,29/Aug/17 6:42 PM,19/Oct/17 3:37 PM,,,0,"*검색 기능 수정 -> (날짜에 따른 검색이 가능하게)*
 # 5 일 이상 전 -  More than 5 days ago
 # 지난 5분 이내 - Within the last 5 minutes
 # A 와 B사이  -  Between   A and B 

 

상세 페이지 UI 관련 분석 진행",,sgyang,데이터 픽쳐를 이용해서 검색기능 구현;29/Aug/17 10:13 AM;sgyang;14400,"기능 상세 구현 진행 

컨트롤러, jquery ajax 등등;29/Aug/17 10:14 AM;sgyang;14400",상세 페이지 분석;29/Aug/17 10:14 AM;sgyang;7200,,28800,0,36000,125%,28800,0,36000,,,,,,,,,,,,,,,,,,,,,,
[ToDo] 양승근_08/26(토),FG-45,11020,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,sgyang,sgyang,sgyang,28/Aug/17 9:15 AM,28/Aug/17 9:17 AM,19/Oct/17 3:37 PM,,,0,"JIRA 라이선스 연장 진행 (유틸 플러그인)

코드 리뷰를 위한 준비 및 코드리뷰 진행

 ",,sgyang,코드리뷰 진행 ;28/Aug/17 9:16 AM;sgyang;14400,JIRA 라이선스 갱신;28/Aug/17 9:17 AM;sgyang;3600,메인페이지 ui작업 및 코드리뷰 준비;28/Aug/17 9:17 AM;sgyang;10800,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,
[ToDo] 양승근_08/25(금),FG-42,11017,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,sgyang,sgyang,sgyang,26/Aug/17 9:52 AM,26/Aug/17 9:54 AM,19/Oct/17 3:37 PM,,,0,"리스트 기능 수정

검색 기능 수정 -> jquery 기능 개선 

기존에 막히던 jquery 부분을 개선

 

 ",,sgyang,"검색시 팝업의 문제 ajax를 사용시 화면 갱신 문제가 발생

onclik과 on 메소드의 차이를 알게 되고 대응 

onclik은 한번 핸들러가 매핑이되면 추가로 append 시 

매핑이 이루어지지 않음 on은 계속 핸들러 매핑을 진행함.;26/Aug/17 9:54 AM;sgyang;18000",ui 부분 수정 진행;26/Aug/17 9:54 AM;sgyang;18000,,,28800,0,36000,125%,28800,0,36000,,,,,,,,,,,,,,,,,,,,,,
[ToDo] 양승근_08/24(목),FG-41,11016,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,sgyang,sgyang,sgyang,26/Aug/17 9:49 AM,26/Aug/17 9:52 AM,19/Oct/17 3:37 PM,,,0,"리스트 목록 , 페이징 기능 , 검색 기능 개선

기존에 사용하던 로직을 수정 

코드를 좀더 간편히 수정",,sgyang,;26/Aug/17 9:51 AM;sgyang;28800,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,
[ToDo] 양승근_08/23(수),FG-36,11003,ToDo,Closed,FG,First Group,business,sgyang,,,Top,,sgyang,sgyang,sgyang,24/Aug/17 9:58 AM,24/Aug/17 10:00 AM,19/Oct/17 3:37 PM,,,0,"기존 로직의 문제점을 파악하고 회의 진행

회의를 통한 DB 설계 변경 및 로직 개선

 

프로젝트의 방향을 two cycle에서 one cycle로 변경하고 

CI 시 개선안을 완벽하게 하기로 결정 (폭포수 )

 

스프링 부분 페이징 처리 진행 

페이징에서 검색 부분 개선중 ",,sgyang,"로직 문제 개선 회의 진행 

프로젝트의 방향성 개선;24/Aug/17 9:59 AM;sgyang;18000",페이징 기능 개선;24/Aug/17 9:59 AM;sgyang;18000,,,28800,0,36000,125%,28800,0,36000,,,,,,,,,,,,,,,,,,,,,,
